query_id,doc_id,score_hybrid,rank
3394,112208,0.7925755339985545,2.0
3394,172703,0.4257496115332231,3.0
3394,87722,0.33433067831748287,4.0
3394,445971,0.8113950718392057,1.0
3394,345199,0.2640475081212352,5.0
3394,377429,0.19082303480374682,7.0
3394,387277,0.2414946513127817,6.0
3394,133093,0.18063335272244097,8.0
3394,418150,0.03820926921778813,10.0
3394,539263,0.040309804156280306,9.0
5505,100387,1.0,1.0
5505,141738,0.270545089502575,3.0
5505,278824,0.2633189193478237,4.0
5505,70488,0.36249360189671337,2.0
5505,349160,0.07430678365999524,7.0
5505,478457,0.043825481004207745,9.0
5505,200338,0.17268488691566466,5.0
5505,408327,0.14560358100375323,6.0
5505,442142,0.04970288423956183,8.0
5505,593085,0.0,10.0
6792,558617,1.0,1.0
6792,400841,0.48798504621142214,3.0
6792,29306,0.5086460215054999,2.0
6792,136825,0.4863348910986378,4.0
6792,259081,0.43493465527150466,7.0
6792,40447,0.25829215754812074,8.0
6792,480515,0.4501145696549683,6.0
6792,156467,0.45641777435683095,5.0
6792,545434,0.03841985885049964,10.0
6792,585447,0.1869512004218962,9.0
6909,452175,0.6253024263507216,1.0
6909,13260,0.5204566672865188,5.0
6909,435963,0.5347585859729667,4.0
6909,375019,0.6115969028588737,3.0
6909,266900,0.37690073894302367,7.0
6909,464502,0.0915420790426816,9.0
6909,214003,0.0301102329627081,10.0
6909,79357,0.6246665348392783,2.0
6909,535697,0.38268550410987656,6.0
6909,330041,0.28325906520721306,8.0
4946,121690,1.0,1.0
4946,156816,0.5373890614072072,2.0
4946,79357,0.43298594678030766,4.0
4946,9938,0.38176805621233906,5.0
4946,350680,0.23566127943983486,7.0
4946,28119,0.20320313270538598,8.0
4946,343489,0.3038726815962888,6.0
4946,100485,0.5010421144940455,3.0
4946,88105,0.013076484586904314,10.0
4946,496935,0.06384269681469412,9.0
4125,283079,0.4550333735646951,5.0
4125,232199,0.4759765866296679,4.0
